qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
2:193:4,1,0,0,5,0,0,0,4,0,0,2,0,1,0,0,0
2:194:19,1,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0
2:196:13,2,0,0,0,0,0,0,0,0,1,7,0,2,3,0,0
2:196:43,0,0,0,2,0,0,0,2,0,0,5,0,1,1,0,0
2:196:73,0,0,1,3,0,0,0,3,0,0,4,0,0,0,0,0
2:197:30,2,0,1,2,0,0,0,3,0,2,6,0,1,1,0,0
2:199:4,0,0,1,6,0,0,0,2,0,1,4,0,1,1,0,0
2:200:22,0,0,1,4,0,0,0,3,0,1,6,0,2,0,0,0
2:203:6,0,0,0,4,0,0,0,2,0,0,4,0,3,1,0,0
2:204:11,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
2:206:10,0,0,3,5,0,0,0,3,0,0,5,0,0,1,0,0
2:209:1,1,0,2,3,0,0,0,1,0,1,4,0,2,0,0,0
2:211:2,0,0,2,3,0,0,0,3,0,1,4,0,1,0,0,0
2:212:12,2,0,1,5,0,1,0,1,0,0,4,0,0,0,0,0
2:213:22,0,0,2,2,0,0,0,2,0,0,4,0,0,1,0,0
2:214:3,0,0,2,4,0,0,0,4,0,2,3,0,1,1,0,0
2:215:3,2,0,0,2,0,0,0,2,0,1,6,0,2,1,0,0
2:216:11,1,0,0,3,0,0,0,1,0,0,9,0,1,0,0,0
2:217:16,2,0,0,1,0,0,0,1,0,0,4,0,0,3,0,0
2:217:46,0,0,3,5,0,0,0,6,0,0,2,0,0,0,0,0
2:219:3,1,0,0,3,0,0,0,0,0,0,3,0,2,0,0,0
2:220:7,1,0,1,3,0,0,0,1,0,0,8,0,0,0,0,0
2:221:11,1,0,1,3,0,0,0,4,0,0,4,0,1,2,0,0
2:222:2,0,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0
2:223:5,1,0,0,6,0,0,0,7,0,1,3,0,1,0,0,0
2:225:5,0,0,2,4,0,0,0,1,0,1,8,0,1,0,0,0
2:228:1,1,0,1,2,0,0,0,1,0,0,4,0,2,0,0,0
2:228:31,0,0,0,3,0,0,0,1,0,0,6,0,3,0,0,0
2:229:21,0,0,1,5,0,0,0,1,0,0,2,0,0,1,0,0
2:230:5,1,0,1,3,0,0,0,0,0,0,6,0,3,2,0,0
2:231:5,1,0,0,2,0,0,0,3,0,1,4,0,2,1,0,0
2:231:35,1,0,1,3,0,0,0,3,0,2,3,0,1,2,0,0
2:232:20,2,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0
2:233:17,0,1,1,0,0,0,0,0,0,0,5,0,0,2,0,0
2:233:47,2,0,0,2,0,0,0,3,0,2,4,0,3,0,0,0
2:234:13,3,0,1,3,0,0,0,0,0,1,1,0,2,1,0,0
2:235:18,1,0,0,3,0,0,0,4,0,0,5,0,4,1,0,0
2:236:1,0,0,1,1,0,0,0,1,0,0,6,0,0,2,0,0
2:237:6,1,0,0,3,0,0,0,1,0,0,3,0,2,1,0,2
2:238:1,2,0,0,3,0,0,0,4,0,2,3,0,1,0,0,0
2:240:8,1,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0
2:242:5,0,0,0,4,0,0,0,2,0,0,1,0,0,1,0,0
2:243:28,0,0,0,4,0,0,0,2,1,0,5,0,2,2,0,0
2:246:5,0,0,1,1,0,0,0,3,0,0,5,0,3,0,0,0
2:246:35,0,0,1,4,0,0,0,1,0,0,4,0,0,0,0,0
2:247:11,0,0,1,2,0,0,0,1,0,0,3,0,1,2,0,0
2:247:41,0,0,1,2,0,0,0,0,0,0,6,0,1,1,0,0
